-22500,-40500
-21000,-40500
-19500,-40500
-18000,-40500
-16500,-40500
-15000,-40500
-13500,-40500
-12000,-40500
-10500,-40500
-9000,-40500
-7500,-40500
-6000,-40500
-4500,-40500
-3000,-40500
-1500,-40500
0,-40500
1500,-40500
3000,-40500
4500,-40500
6000,-40500
7500,-40500
9000,-40500
10500,-40500
12000,-40500
13500,-40500
15000,-40500
16500,-40500
18000,-40500
19500,-40500
21000,-40500
22500,-40500
-25500,-39000
-24000,-39000
-22500,-39000
-21000,-39000
-19500,-39000
-18000,-39000
-16500,-39000
-15000,-39000
-13500,-39000
-12000,-39000
-10500,-39000
-9000,-39000
-7500,-39000
-6000,-39000
-4500,-39000
-3000,-39000
-1500,-39000
0,-39000
1500,-39000
3000,-39000
4500,-39000
6000,-39000
7500,-39000
9000,-39000
10500,-39000
12000,-39000
13500,-39000
15000,-39000
16500,-39000
18000,-39000
19500,-39000
21000,-39000
22500,-39000
24000,-39000
25500,-39000
-27000,-37500
-25500,-37500
-24000,-37500
-22500,-37500
-21000,-37500
-19500,-37500
-18000,-37500
-16500,-37500
-15000,-37500
-13500,-37500
-12000,-37500
-10500,-37500
-9000,-37500
-7500,-37500
-6000,-37500
-4500,-37500
-3000,-37500
-1500,-37500
0,-37500
1500,-37500
3000,-37500
4500,-37500
6000,-37500
7500,-37500
9000,-37500
10500,-37500
12000,-37500
13500,-37500
15000,-37500
16500,-37500
18000,-37500
19500,-37500
21000,-37500
22500,-37500
24000,-37500
25500,-37500
27000,-37500
-30000,-36000
-28500,-36000
-27000,-36000
-25500,-36000
-24000,-36000
-22500,-36000
-21000,-36000
-19500,-36000
-18000,-36000
-16500,-36000
-15000,-36000
-13500,-36000
-12000,-36000
-10500,-36000
-9000,-36000
-7500,-36000
-6000,-36000
-4500,-36000
-3000,-36000
-1500,-36000
0,-36000
1500,-36000
3000,-36000
4500,-36000
6000,-36000
7500,-36000
9000,-36000
10500,-36000
12000,-36000
13500,-36000
15000,-36000
16500,-36000
18000,-36000
19500,-36000
21000,-36000
22500,-36000
24000,-36000
25500,-36000
27000,-36000
28500,-36000
30000,-36000
-31500,-34500
-30000,-34500
-28500,-34500
-27000,-34500
-25500,-34500
-24000,-34500
-22500,-34500
-21000,-34500
-19500,-34500
-18000,-34500
-16500,-34500
-15000,-34500
-13500,-34500
-12000,-34500
-10500,-34500
-9000,-34500
-7500,-34500
-6000,-34500
-4500,-34500
-3000,-34500
-1500,-34500
0,-34500
1500,-34500
3000,-34500
4500,-34500
6000,-34500
7500,-34500
9000,-34500
10500,-34500
12000,-34500
13500,-34500
