-22500,-40500
-18000,-40500
-13500,-40500
-9000,-40500
-4500,-40500
0,-40500
4500,-40500
9000,-40500
13500,-40500
18000,-40500
22500,-40500
-27000,-36000
-22500,-36000
-18000,-36000
-13500,-36000
-9000,-36000
-4500,-36000
0,-36000
4500,-36000
9000,-36000
13500,-36000
18000,-36000
22500,-36000
27000,-36000
-31500,-31500
-27000,-31500
-22500,-31500
-18000,-31500
-13500,-31500
-9000,-31500
-4500,-31500
0,-31500
4500,-31500
9000,-31500
13500,-31500
18000,-31500
22500,-31500
27000,-31500
31500,-31500
-36000,-27000
-31500,-27000
-27000,-27000
-22500,-27000
-18000,-27000
-13500,-27000
-9000,-27000
-4500,-27000
0,-27000
4500,-27000
9000,-27000
13500,-27000
18000,-27000
22500,-27000
27000,-27000
31500,-27000
36000,-27000
-40500,-22500
-36000,-22500
-31500,-22500
-27000,-22500
-22500,-22500
-18000,-22500
-13500,-22500
-9000,-22500
-4500,-22500
0,-22500
4500,-22500
9000,-22500
13500,-22500
18000,-22500
22500,-22500
27000,-22500
31500,-22500
36000,-22500
40500,-22500
-40500,-18000
-36000,-18000
-31500,-18000
-27000,-18000
-22500,-18000
-18000,-18000
-13500,-18000
-9000,-18000
-4500,-18000
0,-18000
4500,-18000
9000,-18000
13500,-18000
18000,-18000
22500,-18000
27000,-18000
31500,-18000
36000,-18000
40500,-18000
-45000,-13500
-40500,-13500
-36000,-13500
-31500,-13500
-27000,-13500
-22500,-13500
-18000,-13500
-13500,-13500
-9000,-13500
-4500,-13500
0,-13500
4500,-13500
9000,-13500
13500,-13500
18000,-13500
22500,-13500
27000,-13500
31500,-13500
36000,-13500
40500,-13500
45000,-13500
-45000,-9000
-40500,-9000
-36000,-9000
-31500,-9000
-27000,-9000
-22500,-9000
-18000,-9000
-13500,-9000
-9000,-9000
-4500,-9000
0,-9000
4500,-9000
9000,-9000
13500,-9000
18000,-9000
22500,-9000
27000,-9000
31500,-9000
36000,-9000
40500,-9000
45000,-9000
-45000,-4500
-40500,-4500
-36000,-4500
-31500,-4500
-27000,-4500
-22500,-4500
-18000,-4500
-13500,-4500
-9000,-4500
-4500,-4500
0,-4500
4500,-4500
9000,-4500
13500,-4500
18000,-4500
22500,-4500
27000,-4500
31500,-4500
36000,-4500
40500,-4500
45000,-4500
-45000,0
-40500,0
-36000,0
-31500,0
-27000,0
-22500,0
-18000,0
-13500,0
-9000,0
-4500,0
0,0
4500,0
9000,0
13500,0
18000,0
22500,0
27000,0
31500,0
36000,0
40500,0
45000,0
-45000,4500
-40500,4500
-36000,4500
-31500,4500
-27000,4500
-22500,4500
-18000,4500
-13500,4500
-9000,4500
-4500,4500
0,4500
4500,4500
9000,4500
13500,4500
18000,4500
22500,4500
27000,4500
31500,4500
36000,4500
40500,4500
45000,4500
-45000,9000
-40500,9000
-36000,9000
-31500,9000
-27000,9000
-22500,9000
-18000,9000
-13500,9000
-9000,9000
-4500,9000
0,9000
4500,9000
9000,9000
13500,9000
18000,9000
22500,9000
27000,9000
31500,9000
36000,9000
40500,9000
45000,9000
-45000,13500
-40500,13500
-36000,13500
-31500,13500
-27000,13500
-22500,13500
-18000,13500
-13500,13500
-9000,13500
-4500,13500
0,13500
4500,13500
9000,13500
13500,13500
18000,13500
22500,13500
27000,13500
31500,13500
36000,13500
40500,13500
45000,13500
-40500,18000
-36000,18000
-31500,18000
-27000,18000
-22500,18000
-18000,18000
-13500,18000
-9000,18000
-4500,18000
0,18000
4500,18000
9000,18000
13500,18000
18000,18000
22500,18000
27000,18000
31500,18000
36000,18000
40500,18000
-40500,22500
-36000,22500
-31500,22500
-27000,22500
-22500,22500
-18000,22500
-13500,22500
-9000,22500
-4500,22500
0,22500
4500,22500
9000,22500
13500,22500
18000,22500
22500,22500
27000,22500
31500,22500
36000,22500
40500,22500
-36000,27000
-31500,27000
-27000,27000
-22500,27000
-18000,27000
-13500,27000
-9000,27000
-4500,27000
0,27000
4500,27000
9000,27000
13500,27000
18000,27000
22500,27000
27000,27000
31500,27000
36000,27000
-31500,31500
-27000,31500
-22500,31500
-18000,31500
-13500,31500
-9000,31500
-4500,31500
0,31500
4500,31500
9000,31500
13500,31500
18000,31500
22500,31500
27000,31500
31500,31500
-27000,36000
-22500,36000
-18000,36000
-13500,36000
-9000,36000
-4500,36000
0,36000
4500,36000
9000,36000
13500,36000
18000,36000
22500,36000
27000,36000
-22500,40500
-18000,40500
-13500,40500
-9000,40500
-4500,40500
0,40500
4500,40500
9000,40500
13500,40500
18000,40500
22500,40500
-13500,45000
-9000,45000
-4500,45000
0,45000
4500,45000
9000,45000
13500,45000
